year,college,college_short,college_type,district,branch,community,quota,cutoff_mark
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Biomedical Engineering,OC,General,195.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Biomedical Engineering,BC,General,192.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Biomedical Engineering,BCM,General,193.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Biomedical Engineering,MBC,General,193.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Civil Engineering,OC,General,195.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Civil Engineering,BC,General,192.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Civil Engineering,BCM,General,190.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Civil Engineering,MBC,General,193.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Computer Science and Engineering,OC,General,200.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Computer Science and Engineering,BC,General,199.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Computer Science and Engineering,BCM,General,198.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Computer Science and Engineering,MBC,General,199.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Computer Science and Engineering,SC,General,191.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electronics and Communication Engineering,OC,General,199.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electronics and Communication Engineering,BC,General,199.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electronics and Communication Engineering,BCM,General,197.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electronics and Communication Engineering,MBC,General,198.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electrical and Electronics Engineering,OC,General,197.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electrical and Electronics Engineering,BC,General,196.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electrical and Electronics Engineering,BCM,General,196.5
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electrical and Electronics Engineering,MBC,General,196.0
2025,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electrical and Electronics Engineering,SC,General,190.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Computer Science and Engineering,OC,General,198.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Computer Science and Engineering,BC,General,197.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Computer Science and Engineering,BCM,General,195.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Computer Science and Engineering,MBC,General,195.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Computer Science and Engineering,SC,General,188.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Electronics and Communication Engineering,OC,General,196.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Electronics and Communication Engineering,BC,General,195.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Electronics and Communication Engineering,BCM,General,193.0
